time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.023671965300788e-07,5.3146509165390394e-08,10.002322371819725,6.282764926250412,0.0004391746401903873,0.0,-4.136765436692851e-05,-1.2896311790480019e-05,0.07740961897462156,-0.027171740959975696,0.018962643687142375,0.0,429.48133970407235,431.0862991176303,430.21199435904094,427.9056201392083
0.12000000000000001,-1.6811983079204927e-05,-1.580791225897326e-05,10.010600447815799,6.2814040994944556,0.0015652789185791605,0.0,-0.0006212900134476864,-0.0006717269864986979,0.19851193842241255,-0.014944636015265387,0.018377098768206,0.0,444.24448026051056,444.19642161269786,442.3927231027003,443.398123135284
0.18,-9.343754477013546e-05,-9.77697739000225e-05,10.026361582164798,6.280722757871782,0.0035306970637982715,0.0,-0.0021058097720368,-0.0021432014624640466,0.32682997914288464,-0.005001728313464465,0.052058958337969904,0.0,444.03835908676746,446.79279798466365,445.88098359510616,446.6925184437168
0.23999999999999996,-0.0003213176176475269,-0.0002875373176202078,10.052639219992635,6.280501704428989,0.0060541557235342935,0.0,-0.005864221460663605,-0.00421332673142663,0.5490087715238574,-0.00117132026556392,-0.007282430752948113,0.0,476.6130836510489,472.05726613439657,473.9742658388684,474.268579709652
0.3,-0.0008176953173555095,-0.0006055465610614576,10.092071868058937,6.280133972697296,0.00584333924100644,0.0,-0.010643448782663038,-0.0064097617840851995,0.7652929836320684,-0.018565720766814408,0.003122315268792091,0.0,472.5524700568791,473.35378753613935,473.1297323492735,471.78890874364754
0.36000000000000004,-0.0015980013262176175,-0.0010674761074231482,10.144453796276071,6.279784980543305,0.005876631405225652,0.0,-0.015379638411320612,-0.009065254914700126,0.9806110057007729,0.011931549226202409,-0.005150865755800538,0.0,473.39359693694576,472.7566421476669,471.14872530572694,473.50047902844904
0.4200000000000001,-0.0026364619877333045,-0.0016764743683070921,10.20552513793323,6.280217134345431,0.005369870245132802,0.0,-0.019196254252009715,-0.011175887036265496,1.0550346970935751,-0.004507891632137953,-0.01602109600422007,0.0,430.55654624538334,429.6361163664606,429.99725187234355,428.60242580412483
0.48000000000000015,-0.003899783941103435,-0.0024116578642223714,10.272550057726725,6.27972042412128,0.004842634405372692,0.0,-0.02283841488255879,-0.013368952194640094,1.1790095872053359,-0.017152164666596355,0.0027455715472438228,0.0,445.4938183872206,447.0255991608593,445.40200617792493,444.3669314277559
0.5400000000000001,-0.005369945363451377,-0.0032881753071248064,10.346139674500842,6.279176616831073,0.004794617287482872,0.0,-0.026173577108316706,-0.015923943111340877,1.2738760779808678,0.003544400156993,-0.0090525227091529,0.0,436.1108110015955,435.12436868934145,436.862758476933,438.5849997138353
0.6000000000000002,-0.007058791790571339,-0.004343802120365136,10.430163405747704,6.279427489071331,0.004007825983399549,0.0,-0.030039033125280605,-0.019233517346255575,1.5266129314098522,0.005425403798045606,-0.022812001701679532,0.0,485.0737757196941,484.0396281256329,484.42191957599283,484.5632488851999
0.6600000000000003,-0.008940491103842077,-0.00557585770668073,10.52520944682893,6.27976454324217,0.0027340129106292466,0.0,-0.03254624926837609,-0.02179991707285688,1.64143112295334,0.005999173699355827,-0.018241059705513953,0.0,443.9087195749506,444.2836153119087,443.62303432918924,443.6700446683594
0.7200000000000003,-0.01095748425294714,-0.006968789082281953,10.631385854183147,6.279690765636701,0.0016543270140019217,0.0,-0.03454996483147431,-0.024603521090308646,1.8973942873401837,-0.022417352664215934,-0.01750669984723193,0.0,486.00654422296867,486.0616733439075,487.8411276332872,485.7148638157258
0.7800000000000004,-0.013059610168933127,-0.008519765314730322,10.747520210576015,6.278214308655693,0.00025467471245477213,0.0,-0.03540381357730048,-0.027233723204774105,1.9736219018773267,-0.029393042259406577,-0.03871603358682674,0.0,433.79102057691193,432.0062977341959,433.0632958158687,432.47606257119986
0.8400000000000004,-0.015179911054827022,-0.010272235476439946,10.870627156588103,6.276381647294819,6.281022879148988,0.0,-0.03501186269103372,-0.03137864631531256,2.129664353858646,-0.03295211944413791,-0.043622843170925726,0.0,459.057609722298,458.66731840434653,457.37634442595055,457.0925352519869
0.9000000000000005,-0.01722449202345796,-0.012306967153650587,11.001945796156155,6.2743678790464354,6.278156304265764,0.0,-0.03285640191035434,-0.03665283991010865,2.2473972836726643,-0.03481276781419556,-0.05774086507025857,0.0,447.44478780172693,446.2925693587697,446.92498223207417,446.77286624055984
0.9600000000000005,-0.01906101298944233,-0.014725457409764407,11.14294873615114,6.271999856159564,6.274793015170129,0.0,-0.02796252158275441,-0.04421890945584459,2.452279634752357,-0.05094026947730617,-0.05288086223802747,0.0,473.4271076128557,473.7989558214271,474.40962717941403,473.1689971483642
1.0200000000000005,-0.020506073082009343,-0.017684146077922305,11.298459861428848,6.269221369269976,6.272222941576027,0.0,-0.01984976673753989,-0.054769523324325754,2.7307947172011247,-0.03836439561283843,-0.02793337161798164,0.0,494.41219110679504,496.245816213969,495.6455918695831,496.56787836643446
1.0800000000000005,-0.02144656972647552,-0.021289823879273816,11.46687177827244,6.267187153087912,6.270472394928687,0.0,-0.01131655506910801,-0.06565073057838212,2.8825598441507845,-0.026213994296024588,-0.03178370737434681,0.0,460.2553826806975,459.9503296591711,459.48145286159973,460.4432374726155
